1	+380006370855,+380005271860,371413,371426,371512,99,86,ABANDONED
2	+380006370855,+380005108190,371562,371585,371647,85,62,BUSY
3	+380006370855,+380002930068,371613,371698,371750,137,52,ABANDONED
4	+380006370855,+380006656438,372107,372175,372335,228,160,ANSWERED
5	+380006370855,+380005893054,372607,372627,372652,45,25,ANSWERED
6	+380006370855,+380005007364,372710,372795,372846,136,51,ANSWERED
7	+380006370855,+380009050115,372873,372923,373064,191,141,ANSWERED
8	+380006370855,+380008871428,373494,373514,373581,87,67,ANSWERED
9	+380006370855,+380003478128,373594,373596,373746,152,150,ANSWERED
10	+380006370855,+380000758354,373689,373775,373851,162,76,ANSWERED
11	+380006370855,+380008534460,373849,373916,373940,91,24,ANSWERED
12	+380006370855,+380005058663,374668,374727,374824,156,97,BUSY
13	+380006370855,+380009873989,375443,375528,375662,219,134,ABANDONED
14	+380006370855,+380001758288,375503,375541,375708,205,167,ABANDONED
15	+380006370855,+380002194427,375717,375795,375957,240,162,ANSWERED
16	+380006370855,+380009607655,376243,376244,376349,106,105,ANSWERED
17	+380006370855,+380008657079,376595,376595,376608,13,13,ANSWERED
18	+380006370855,+380006277499,376637,376686,376853,216,167,ANSWERED
19	+380006370855,+380000453163,376661,376712,376821,160,109,BUSY
20	+380006370855,+380000158881,377187,377222,377365,178,143,ABANDONED
21	+380006370855,+380006087966,377490,377560,377724,234,164,ANSWERED
22	+380006370855,+380004598942,377988,378027,378047,59,20,ANSWERED
23	+380006370855,+380002930068,378023,378069,378082,59,13,ANSWERED
24	+380006370855,+380005334705,378200,378227,378289,89,62,ANSWERED
25	+380006370855,+380005108190,378802,378802,378815,13,13,ANSWERED
26	+380006370855,+380003478128,378813,378843,378977,164,134,ANSWERED
27	+380006370855,+380005007364,378924,379010,379081,157,71,ABANDONED
28	+380006370855,+380001758288,380075,380079,380251,176,172,BUSY
29	+380006370855,+380005893054,380834,380899,380979,145,80,ANSWERED
30	+380006370855,+380004598942,381009,381066,381191,182,125,ANSWERED
31	+380006370855,+380009477798,381128,381186,381189,61,3,ANSWERED
32	+380006370855,+380005836306,381154,381223,381326,172,103,ANSWERED
33	+380006370855,+380003937038,381421,381454,381531,110,77,ANSWERED
34	+380006370855,+380009873989,381516,381549,381696,180,147,ANSWERED
35	+380006370855,+380008534460,382148,382153,382161,13,8,ANSWERED
36	+380006370855,+380003478128,382520,382595,382650,130,55,ANSWERED
37	+380006370855,+380001018220,382558,382612,382699,141,87,ANSWERED
38	+380006370855,+380000744414,383438,383481,383609,171,128,ANSWERED
39	+380006370855,+380000357036,384747,384793,384903,156,110,ABANDONED
40	+380006370855,+380009607655,384898,384954,385033,135,79,ANSWERED
41	+380006370855,+380006034742,385138,385208,385209,71,1,ANSWERED
42	+380006370855,+380005893054,385603,385645,385707,104,62,ABANDONED
43	+380006370855,+380004598942,385834,385892,385917,83,25,ANSWERED
44	+380006370855,+380004229979,386228,386231,386357,129,126,ANSWERED
45	+380006370855,+380008155009,386561,386621,386646,85,25,ANSWERED
46	+380006370855,+380000758354,386600,386676,386807,207,131,ANSWERED
47	+380006370855,+380007929280,387433,387507,387599,166,92,ANSWERED
48	+380006370855,+380005007364,387675,387764,387890,215,126,ANSWERED
49	+380006370855,+380005108190,388173,388242,388273,100,31,ANSWERED
50	+380006370855,+380006087966,388467,388530,388677,210,147,ANSWERED
51	+380006370855,+380000744414,388696,388733,388796,100,63,ANSWERED
52	+380006370855,+380002409728,388739,388740,388746,7,6,ABANDONED
53	+380006370855,+380002409728,388920,388970,389137,217,167,ANSWERED
54	+380006370855,+380000537504,389206,389274,389316,110,42,ABANDONED
55	+380006370855,+380005334705,389241,389285,389391,150,106,ABANDONED
56	+380006370855,+380008871428,389403,389459,389606,203,147,ANSWERED
57	+380006370855,+380004229979,389564,389579,389718,154,139,BUSY
58	+380006370855,+380005893054,389918,390001,390099,181,98,ANSWERED
59	+380006370855,+380008155009,390197,390254,390394,197,140,ANSWERED
60	+380006370855,+380009477798,390231,390295,390313,82,18,BUSY
61	+380006370855,+380000537504,390241,390323,390357,116,34,ANSWERED
62	+380006370855,+380003937038,390952,391033,391084,132,51,ANSWERED
63	+380006370855,+380003478128,391515,391522,391623,108,101,ANSWERED
64	+380006370855,+380003937038,391560,391596,391601,41,5,ANSWERED
65	+380006370855,+380004867224,391870,391872,391874,4,2,ANSWERED
66	+380006370855,+380007556781,391998,392017,392018,20,1,ANSWERED
67	+380006370855,+380005058663,393515,393572,393618,103,46,ANSWERED
68	+380006370855,+380006277499,394049,394115,394208,159,93,ANSWERED
69	+380006370855,+380009607655,394150,394181,394308,158,127,ANSWERED
70	+380006370855,+380005836306,394761,394784,394815,54,31,ANSWERED
71	+380006370855,+380000158881,395718,395753,395754,36,1,ANSWERED
72	+380006370855,+380000158881,396126,396184,396294,168,110,ABANDONED
73	+380006370855,+380002030944,396273,396358,396382,109,24,ANSWERED
74	+380006370855,+380006277499,396383,396416,396453,70,37,ANSWERED
75	+380006370855,+380002930068,397426,397439,397588,162,149,ANSWERED
76	+380006370855,+380008381960,397451,397521,397693,242,172,ANSWERED
77	+380006370855,+380009607655,398168,398214,398214,46,0,ANSWERED
